Vocal,Learn,Test,Wrong,Mymeaning,Meaning,Addon1,Addon2,Addon3
abound,,,,,v. 大量存在，充满 to exist in very large numbers, abound in coal 煤矿丰富," swarm, teem, fraught, proliferate",
peccadillo,,,,,"n. 小过失 small, unimportant sins or faults", forgive him for his peccadillos 原谅他的小过失, misdemeanor,
fatigue,,,,,n. 疲惫 a feeling of being extremely tired, physical and mental fatigue 心力交瘁," exhaustion, weariness",
disproportionate,,,,,adj. 不成比例的 too large or too small when compared with something else, the disproportionate amount of money spent on defense 比例失衡的国防开支, incommensurate,
obtrusive,,,,,adj. 突兀的，辣眼睛的 noticeable in an unpleasant way, obtrusive TV antennas 碍眼的电视天线,,
vagary,,,,,n. 反复无常 an unexpected and inexplicable change in behavior, the perplexing vagaries of politics 令人费解、变化莫测的政坛风云," caprice, whim, whimsy",
stagger,,,,,v. 犹豫不决 to show uncertainty about the right course of action, stagger in the face of the challenge 面对挑战犹豫不决, waver,
abash,,,,,v. 使尴尬 to embarrass, nothing could abash him 没有什么可以使他感到难堪," discomfit, disconcert, mortify",
sensuous,,,,,adj. 愉悦感官的 giving pleasure to your senses, sensuous music 悦耳的音乐,,
stalemate,,,,,n. 僵局 a situation in which neither side can win or in which no progress is possible, an attempt to break the stalemate 打破僵局的努力," deadlock, impasse, standstill",
accrete,,,,,v. 逐渐增长 to grow or increase gradually, silt accreting at the mouth of the river 在河口淤积的泥沙," accumulate, build up",
eschew,,,,,v. 刻意避开 to avoid habitually, eschew radicalism 避开激进," dodge, elude, evade, shirk, shun, circumvent",
leach,,,,,v. 过滤 to remove (nutritive or harmful elements) from soil, leach the toxic material from the soil 从泥土中滤除有毒物质, filter,
chimera,,,,,n. 幻想 an impossible idea or hope, religious unity remains as much a chimera as ever 宗教统一仍旧是一通幻想," fantasy, delusion, hallucination, illusion",
sanction,,,,,v. 批准，同意 to permit officially, sanction covert operations 批准秘密行动," accredit, authorize, endorse, license",
abandon,,,,,v. 放弃 to withdraw from often in the face of danger or encroachment, abandon the ship 弃船," forsake, forgo, jettison",
measured,,,,,adj. 深思熟虑的 carefully considered, a measured tone 慎重的语调,,
anchor,,,,,v. 扎根于 to be strongly connected with a particular system, anchored in the political mainstream 扎根于政治主流思想,,
cupidity,,,,,n. 贪婪 greed, the cupidity of businessmen 商人的贪婪," avarice, avidity, rapacity",
uncanny,,,,,n. 离奇的 extraordinary or strange, the silence is uncanny 静得出奇," phenomenal, preternatural",
finale,,,,,"n. 终场，结局 the closing part, scene, or number", the finale of the ballet 芭蕾舞剧的最终幕," coda, conclusion",
zenith,,,,,n. 最高点，巅峰 the highest point, reach its zenith 达到巅峰," acme, climax, peak, crest, pinnacle, summit",
superfluous,,,,,adj. 多余的 exceeding what is sufficient or necessary, a modern building with no superfluous decoration 没有多余装饰的现代建筑," excessive, redundant, surplus",
intermittent,,,,,"adj.断断续续的 coming and going at intervals, not continuous", intermittent rain in June 六月里断断续续的梅雨," episodic, sporadic, fitful",
solace,,,,,v./n. 安慰 to give comfort to, solace those bereaved children 安抚那些失去双亲的孩子们," comfort, console, soothe",
repertoire,,,,,n. 全部才能 all the things that a person is able to do, a child’s growing verbal repertoire 小孩不断增长的语言表达能力, inventory,
oxymoron,,,,,n. 矛盾修饰法 a figure of speech in which apparently contradictory terms appear in, the phrase “agreeable melancholy” is an oxymoron “令人愉悦的忧伤”是一个矛盾修饰,,
gregarious,,,,,adj. 爱社交的 likely to seek or enjoy the company of others, a gregarious and outgoing person 爱社交且外向的人," convivial, sociable",
congruent,,,,,adj. 和谐一致的 being in agreement or harmony, a theory congruent with the known facts 一个与已知事实相一致的理论," consonant, consistent, accordant",
derelict,,,,,"adj. 玩忽职守的, 不认真的 lacking a sense of duty", derelict in his duty to his country 未能履行对国家的职责," negligent, lax, remiss",
desultory,,,,,"adj. 无计划、目标的 lacking a definite plan, purpose, or pattern", a desultory search for something of interest on TV 漫无目的的换台," digressive, meandering, rambling, aimless",
obloquy,,,,,n. 辱骂 strong public criticism, she unleashed a torrent of obloquy on her opponent 她滔滔不绝地辱骂了对手一顿," fulmination, invective, vituperation, objurgation",
jaundice,,,,,"n. （因嫉妒或厌世而产生的）偏见 bitterness, resentment or envy", the jaundice in the eyes of the two feuding neighbors 两个有积怨的邻居之间的偏见,,jaundiced adj.有偏见的
vicarious,,,,,adj. 代理的，间接感受的 performed or suffered by one person as a substitute for another, vicarious pleasure 间接感受到的快乐," indirect, substitute, surrogate",
dilapidate,,,,,v. 使……荒废 to bring into a condition of decay or partial ruin, the house has been dilapidated by neglect 由于无人照看，这个房子已经荒废了,,
introspection,,,,,n. 自我反省 the process of examining your own thoughts or feelings, a moment of quiet introspection 宁静的自省时刻,,
invert,,,,,v. 使颠倒，翻转 to turn something upside down, invert the coin 翻转硬币," flip, reverse",
impervious,,,,,adj. 不可渗透的，不可穿透的 not allowing entrance or passage, impervious to rain 防雨," impassable, impenetrable, impermeable",
plebeian,,,,,adj. 平民的，社会下层的 belonging to the class of people of low social or economic rank, plebeian tastes 庸俗的趣味," humble, inferior, lowly, vulgar",
squander,,,,,v. 浪费 to spend wastefully or extravagantly, he squandered his inheritance on women and gambling 他把遗产浪费在女人和赌博上," dissipate, lavish, profligate",
temerity,,,,,n. 鲁莽 foolhardy disregard of danger; recklessness, he actually had the temerity to tell her to lose weight 他竟然鲁莽地叫她减肥," audacity, brashness, presumption",
dainty,,,,,adj. 小巧精致的 small and delicate, a dainty porcelain cup 小巧玲珑的瓷杯, exquisite,
wayward,,,,,adj. 不听话的，任性的 following one’s own capricious inclinations, wayward children with behavioral problems 行为上有些问题任性的小孩," errant, intractable, rebellious, recalcitrant, refractory, unruly",
discord,,,,,n. 意见不一致 lack of agreement or harmony," no discord, no concord 不打不成交"," conflict, dissonance, friction, schism",
attune,,,,,v. 使协调 to bring into harmony, attune businesses to changing trends 使企业与变化的趋势相协调," accommodate, coordinate",
errant,,,,,adj. 居无定所的 traveling from place to place, an errant gunslinger 居无定所的歹徒," fugitive, nomadic, peripatetic, vagrant, wandering",
bluster,,,,,v. 咆哮，狂妄自大地说 to speak in a loudly arrogant or bullying manner, a blustering bully 咄咄逼人的恶霸,,
absurd,,,,,"adj. 不合理的 ridiculously unreasonable, unsound, or incongruous", an absurd argument 无稽之谈," ludicrous, nonsensical, preposterous",
accolade,,,,,"n. 赞赏，荣誉 award, an expression of approval"," Grammy Award, the highest accolade in the music business 音乐界的最高奖项格莱美",,
inquisitive,,,,,adj. 过分好奇的 improperly curious about the affairs of others, big sunglasses to frustrate inquisitive journalists 让狗仔队企图无法得逞的大墨镜," inquiring, prying",
remiss,,,,,adj. 疏忽的，不留心的 careless, parents who are remiss in their duties 没有尽责的父母," derelict, heedless, neglectful, slack",
canard,,,,,"n. 谣传 an unfounded or false, deliberately misleading story", a widespread canard 广为流传的谣言,,
peruse,,,,,"v. 细读 to read or examine, typically with great care", peruse the manuscript to check for grammatical errors 细读手稿以检查语法错误,,
untoward,,,,,"adj. 倒霉的，不吉利的 not favorable, unpropitious", an untoward incident 不幸的事故," unpropitious, misfortunate, unfortunate",
ensue,,,,,"v. 紧随其后 take place afterward or as a result, follow", problems that ensue from food shortage 食品短缺引起的问题,, ensuing adj.随后发生的
phlegmatic,,,,,adj. 冷漠的 unemotional and calm, a strangely phlegmatic response to what should have been happy news 对本该是一个让人开心," apathetic, impassible, insouciant, nonchalant",
dolorous,,,,,"adj. 忧伤的 causing, marked by, or expressing misery or grief"," a pair of sapphire, dolorous eyes 一双忧郁的蓝宝石般的眼睛"," grievous, plaintive, sorrowful, woeful",
fallow,,,,,"adj. 闲置的 not being in a state of use, activity, or employment", a fallow period 空闲期," dormant, vacant, idle",
compulsive,,,,,adj. 难以抑制的的，无法自拔的 so interesting that cannot stop doing, compulsive busyness 无法自拔的忙碌," obsessional, obsessive",
unruly,,,,,"adj. 难驾驭的，不听话的 difficult or impossible to discipline, control, or rule", an unruly child 一个不听话的孩子," indocile, intractable, recalcitrant",
antiquated,,,,,adj. 古老的，过时的 being out of style or fashion, antiquated methods of farming 已经过时的耕种技术," archaic, obsolete, outdated, outmoded",
abominate,,,,,v. 厌恶 to hate or loathe intensely, abominate the very idea of monarchy 对君主制思想深恶痛绝," abhor, detest, execrate, loathe",
saturate,,,,,v. 使饱和，浸透 to wet thoroughly with liquid, saturate the sponge with water 用水将海绵浸透," drench, soak, drown",
capitulate,,,,,"v. 投降，屈服 to give up all resistance, acquiesce, yield", capitulate to the terrorist’s demands 屈从恐怖分子的要求," budge, concede, submit, succumb, surrender",
ineffable,,,,,adj. 难以表达的 incapable of being expressed, ineffable ecstasy 无法用语言表达的狂喜,,
perspicacious,,,,,adj. 极敏锐的，有洞察力的 having or showing penetrating mental discernment, a perspicacious judge 有洞察力的法官," astute, shrewd, keen, discerning",
peripheral,,,,,adj. 不重要的 not important, peripheral activities 次要活动," accessory, extraneous, impertinent, irrelevant",
pellucid,,,,,adj. 透明的 admitting the passage of light, pellucid spring water 清澈透明的泉水," limpid, lucent, transparent, lucid",
pellucid,,,,,adj. 清晰易懂的 transparently clear in style or meaning, a pellucid prose 清晰易懂的散文," lucid, transparent, plain, unambiguous",
circumlocution,,,,,n. 绕圈子说话 the use of unnecessarily wordy and indirect language, the other son of your parents’ is a circumlocution for your brother 你父母的其他儿子是你兄,,
spurious,,,,,adj. 假的，伪造的 lacking authenticity or validity in essence or origin, a spurious argument 谬误的论据," apocryphal, bogus, counterfeit, forged, phony, specious",
conciliatory,,,,,adj. 愿意和解的，抚慰的 making angry people calm, conciliatory approach 愿意和解的姿态," propitiatory, soothing, appeasing, reconciling",
calamity,,,,,n. 大灾难 a disastrous event marked by great loss and lasting distress and suffering, an economic calamity 金融风暴," catastrophe, cataclysm, apocalypse,",
cloying/cloy,,,,,adj. 令人烦腻的，做作的 excessively sweet or sentimental/厌倦n., a cloying romantic comedy 甜腻的爱情喜剧," sentimental, mawkish, saccharine",
cosset /ˈkɑːsɪt,,,,,v. 溺爱 to give too much attention, cosseted by parents 被父母溺爱," coddle, mollycoddle",
cursory,,,,,adj. 匆忙的，不走心的 acting or done with excessive or careless speed, a cursory glance at the headline 匆匆地瞥了一眼标题, perfunctory,
cede,,,,,v. （根据条约）放弃，割让 to surrender possession of, cede the island to America 把岛屿割让给了美国," relinquish, renounce",
wilt,,,,,v. 精神萎靡，憔悴 to feel or exhibit the effects of fatigue or exhaustion, wilt under the pressure of work 因工作的压力而憔悴," emaciate, languish",
exterminate,,,,,v. 根除，消灭 to get rid of completely usually by killing off, exterminate the whole colony of cockroaches 消灭全部蟑螂," annihilate, eradicate, extirpate, wipe out",
sloth,,,,,n. 懒惰 laziness in work, sloth is the mother of poverty 懒惰是贫穷的原因," indolence, inertia, languor, lethargy",
hoary,,,,,adj. 极老的 extremely old, hoary legends 上古的传说故事," antique, antediluvian, archaic",
hew,,,,,v. 遵守 to hold to something firmly as if by adhesion, hew to tradition 遵守传统," adhere, cling, conform",
lapse,,,,,n. 失误 an unintentional departure from truth or accuracy, an atypical lapse 非典型失误," blunder, gaffe, oversight, slip",
crave,,,,,v. 热望 to have an intense desire for, crave alcohols and cigarettes 渴望烟酒," yearn, pine, thirst, long",
mimic,,,,,"v. 模仿 to use as the model for one’s speech, behavior", learn their language by mimicking the sounds they made 通过模仿发音来学习语言," emulate, simulate, imitate, mock",
aloof,,,,,adj. 高冷的 removed or distant either physically or emotionally, keep oneself aloof from the people 对人民漠不关心," detached, offish, unsociable, withdrawn",
bland,,,,,"adj. 平淡的，无趣的 dull, not interesting", a bland story with naive plot 一个情节幼稚的无聊故事," banal, vapid, insipid, jejune",
probe,,,,,v./n. 深入调查 a penetrating or critical investigation, probe into his background 深入调查他的背景," delve, inquire, investigate",
whet,,,,,v. 激发兴趣 increases your desire for something, whet customers’ appetites 激发消费者的购买欲," edge, hone",
gloat,,,,,"v. 自鸣得意 a feeling of great, often malicious, pleasure or self-satisfaction", gloat over one’s enemy's misfortune 为敌人的不幸而幸灾乐祸,,
deter,,,,,"v. 恐吓，阻止 to prevent or discourage from acting, as by means of fear or doubt", deterred by threats 被威胁阻止," dissuade, inhibit, discourage",
riot /ˈraɪət/,,,,,n. 喧闹，暴乱 public violence, prison riots 监狱暴乱," commotion, tumult, turmoil",
loath,,,,,adj. 不情愿的 unwilling or reluctant, loath to accept the fact 不情愿地接受事实," disinclined, reluctant, compelled",
loathe,,,,,v. 厌恶 to dislike someone or something greatly, loathe at the sight of greasy food 一看到油腻的食物就恶心," abhor, abominate, detest, execrate",
plod,,,,,v. 沉重缓慢地走 to walk heavily or slowly, plod on though the rain 冒雨艰难跋涉,, plodding adj.单调乏味的
vapid,,,,,adj. 无聊的 dull and uninteresting, a song with vapid lyrics 一首歌词乏味的歌曲," insipid, jejune, banal, bland",
extol,,,,,v. 赞美 to praise highly, extol the virtues of… 赞美……的优点," exalt, laud, hymn, valorize",
verse,,,,,"n. 活力 active strength of body or mind, vitality", a performance of verve and vitality 一场充满激情与活力的演出," animation, dynamism, vigor, sap",
coy,,,,,adj. 害羞的，内向的 tending to avoid people and social situations, she is modest without being coy 她很谦逊，但又不至于内向," diffident, introverted, recessive",
pine,,,,,v. 渴望 to yearn intensely and persistently especially for something unattainable, pine for a lost love 渴望逝去的爱情," crave, yearn, long, thirst",
crass,,,,,adj. 粗俗愚钝的 so crude and unrefined as to be lacking in discrimination and sensibility, an act of crass stupidity 粗俗愚蠢的行为," vulgar, coarse, crude",
snobbish,,,,,adj. 势利的，自大的 characteristic of a person who has an offensive air of superiority, they have a snobbish dislike for their intellectual and social inferiors 他们很势力眼，不喜欢才," elitist, bumptious, haughty, supercilious",
dire,,,,,adj. 可怕的，恐怖的 causing fear, a series of dire tremors that hinted at a volcanic eruption 一系列暗示火山爆发的恐怖的震动," formidable, daunting, intimidating, terrifying",
dire,,,,,adj. 迫切的，紧急的 urgent, a dire need for food and medicine 迫切需要食物和药品," pressing, acute, exigent",
stoic,,,,,adj. 隐忍的，冷静的 seemingly indifferent to or unaffected by pleasure or pain, stoic resignation in the face of hunger 默默忍受着饥饿," forbearing, tolerant, phlegmatic, stolid",
quell,,,,,v. 压制 to put down forcibly, quell riot 镇压骚乱," quash, repress, squash, suppress",
pithy,,,,,adj. 简洁的 forceful and brief, a pithy introduction 简短的介绍," concise, laconic, succinct, terse",
murky,,,,,adj. 模糊的 lacking clarity or distinctness, the murky bureaucratic rhetoric 模糊的官僚主义说辞," vague, muddy, nebulous, obscure",
spur,,,,,v. 刺激，激励 to stimulate, appreciation spurred his ambition 赞扬激起了他的雄心壮志," arouse, goad, instigate, prod, stir",
hoax,,,,,n./v. 欺骗 to cause to believe what is untrue, a bomb hoax 虚假炸弹恐吓," beguile, con, dupe, gull, hoodwink",
lurk,,,,,v. 潜伏 to lie in wait in a place of concealment especially for an evil purpose, dangers lurk in the path of wilderness 在这条荒野的小路上隐伏着危险, ambush,
bridle,,,,,v. 限制/控制 to keep from exceeding a desirable degree or level, bridle one’s tongue 说话谨慎," check, curb, restrain, rein in",
glut,,,,,"v. 使过量 to fill beyond capacity, especially with food", glut oneself on alcohol 给自己灌酒,,
fad,,,,,n. （短暂的）流行，时尚 a practice or interest that is very popular for a short time, a passing fad 昙花一现," trend, vogue",
clot,,,,,v. 凝结 to turn from a liquid into a substance resembling jelly, drugs that help blood to clot 帮助凝血的药物," coagulate, congeal",
elate,,,,,v. 使开心 to fill with joy or pride, news to elate the hearer 使听众欢欣鼓舞的消息," exhilarate, elevate",
irk,,,,,v. 使烦恼 to annoy, that trouble irks me a lot 这件麻烦事很是让我心烦," fret, ruffle, vex, exasperate, irritate", irksome adj.令人烦恼的
sap,,,,,v. 削弱 to weaken or exhaust the energy of, weeks of hard work had sapped him and left him exhausted 连续几周辛苦工作让他筋疲力尽," debilitate, enervate, enfeeble",
sap,,,,,n. 健康，活力 active strength of body or mind, a child full of sap and vivacity 活力满满的孩子,, sapless adj. 没有活力的
taxing,,,,,"adj. 繁重的，费力的 requiring much time, effort, or careful attention", a taxing job 繁重的工作," arduous, burdensome, demanding, laborious, onerous",
riveting/rivet,,,,,adj. 吸引人的 wholly absorbing or engrossing one’s attention/柳钉, a riveting performance 引人入胜的表演," absorbing, arresting, engaging, enchanting, intriguing, involving",
earnest,,,,,adj. 严肃认真的 very serious and sincere, an earnest machine operator 认真的机器操作员," grave, solemn, staid, sober",
exacting,,,,,adj. 严格的，苛求的 making severe demands, an exacting instructor 一位严苛的导师," demanding, fastidious, finicky",
slipshod,,,,,adj. 粗心的，随意的 marked by carelessness or indifference to accuracy, a slipshod piece of research 一项随意的研究, slapdash,
anemia,,,,,n. 贫血 lack of vitality, suffer from anemia 缺乏活力," torpor, lethargy",
hoodwink,,,,,v. 欺骗 deceive and cheat, hoodwink consumers 欺骗消费者," beguile, con, delude, dupe, hoax",
straggle,,,,,v. 散乱地分布 cover it in an uneven or messy way," thin, black, straggling hair 稀疏、散乱的黑发", stray,
fester,,,,,"v. 腐烂 to infect, inflame, or corrupt", a dirty wound will probably fester 伤口弄脏了有可能会化脓," corrupt, spoil, molder",
skittish,,,,,adj. 容易激动的，容易受惊的 easily excited, a skittish horse 易受惊的马," restive, fractious",
lush,,,,,adj. 多产的 producing abundantly, a lush field 多产的土地," fecund, prolific",
ruminate,,,,,v. 认真思考 to go over in the mind repeatedly and often casually or slowly, ruminate the reason for past failures 认真思考以往失败的原因," contemplate, meditate, ponder",
quotidian,,,,,adj. 平凡的 everyday; commonplace, escaping my quotidian world 逃离平凡的生活," mundane, routine, commonplace",
empirical,,,,,adj. 基于实验或观察的 based on observation or experiment,empirical science 实验科学,"experimental, observational",
provocative,,,,,adj. 挑衅的 intended to make people angry or upset, a provocative remark 挑衅的言论, inflammatory,
provocative,,,,,adj. 刺激的 making people excited, the provocative and shocking advertisement 刺激又轰动的宣传, stimulating,
colossal,,,,,adj. 巨大的 very large, a colossal waste of public money 对公共财产的巨大浪费," immense, gargantuan, tremendous, prodigious",
brute,,,,,adj. 野蛮的 showing lack of human sensibility,violence and brute behavior 暴力和野蛮行为,"barbaric, savage",
juxtapose,,,,,v. 并列放置 to put things together, a style of décor that juxtaposes antiques with modern furniture 古董和现代家具混搭的装饰风,,
self-righteous,,,,,"adj. 自命不凡的，自以为是的 characterized by a certainty, especially an unfounded one,", self-righteous complacency 自命不凡的自满,,
tumult,,,,,n. 混乱，暴动 a disorderly commotion or disturbance, the recent tumult in global financial markets 最近这次在全球金融市场的混乱," commotion, turmoil, pandemonium, chaos, free-for-all", tumultuous adj. 混乱的
prowess,,,,,"n. 英勇，勇敢 superior strength, courage", his prowess on the football field 他在球场上的英勇," gallantry, guts, intrepidity",
germane,,,,,adj. 相关的，适当的 relevant, details not germane to the discussion 与讨论无关的细节," apposite, apropos, pertinent",
omniscient,,,,,adj. 无所不知的 possessed of universal or complete knowledge, an omniscient deity 无所不知的神,,
startle,,,,,v. 使吓一跳 to frighten or surprise suddenly, they were startled at the prohibitive price 他们被高得离谱的价格吓到了, astound, startling adj.令人吃惊的
charisma,,,,,n. 魅力，吸引力 a special magnetic charm or appeal, a movie star with unique charisma 有着独特魅力的电影明星,, charismatic adj.有人格魅力的
giddy,,,,,adj. 轻浮的 lacking in seriousness or maturity, Fiona is very pretty but a bit giddy 菲奥娜很漂亮，但是有点轻浮," flighty, frivolous",
unremitting,,,,,adj. 连续不断的 going on and on without any interruptions, unremitting rain lasted for six days 连续下了六天的雨," ceaseless, continuous, relentless",
iridescent,,,,,adj. 五颜六色的 displaying a play of lustrous colors like those of the rainbow, an iridescent soap bubble 一个五颜六色的肥皂泡,,
overweening,,,,,adj. 自负的 showing too much confidence or pride, overweening ambition 狂妄的野心," arrogant, presumptuous, self-asserting, supercilious",
holistic,,,,,adj. 整体的 considering a whole thing, a holistic approach to life 对生命的全面探讨," comprehensive, integrated",
frown,,,,,v. 皱眉，厌恶 to show displeasure or disapproval especially by facial expression, frown upon divorce 不赞成离婚,,
halfhearted,,,,,adj. 不热心的，不认真的 lacking interest, a halfhearted apology 冷淡的道歉," lukewarm, tepid",
gauge,,,,,n. 衡量标准 a measurement according to some standard or system, polls as a gauge of voter satisfaction 用以衡量选民满意度的选票结果," benchmark, yardstick",
testy,,,,,adj. 易怒的，暴躁的 easily annoyed, get testy in one’s old age 上了年纪变得暴躁," choleric, irascible, irritable",
belie,,,,,v. 遮盖，掩盖 mask and hide, smile belies sadness 微笑掩盖了忧伤," cloak, curtain, shroud, disguise",
makeshift,,,,,adj. 临时凑合的，应急手段的 serving as a temporary substitute, makeshift tents 临时搭建的帐篷, expedient,
upshot,,,,,n. 最后结果 the final result, the upshot of the court’s ruling 法庭的最后宣判结果," finale, corollary, outgrowth",
venal,,,,,adj. 贪污受贿的 open to corrupt influence and especially bribery, a judge who is known for being venal and easily bought 一名因为贪污和容易收买而闻名的法, corruptible,
blur,,,,,v. （使）模糊 to (cause sth. to) become vague or indistinct, sorrowful tears blurred her eyes 悲伤的眼泪模糊了她的双眼, obscure,
veto,,,,,n./v. 否决，禁止 to forbid or prohibit authoritatively, veto the bill 否决提案,,
demur,,,,,v. 表示异议，反对 to voice opposition, demur at the suggestion 反对提议," protest, remonstrate, dissent",
rue,,,,,n. 后悔 the feeling of regret, with rue my heart is laden 我的内心充满了遗憾," penitence, remorse, compunction", rueful adj.后悔的
haunt,,,,,v. 常去 to visit often, haunt the movie theater 常去影院,, haunted adj. 闹鬼的
xenophobe,,,,,n. 仇视（或畏惧）外国人（或外国事物）者 one unduly fearful of what is foreign and, no way could this thoroughly US-educated woman be a xenophobe 这个接受彻底的美国教育,,
apocryphal,,,,,n. 假的 well-known but probably not true, an apocryphal story 假故事," spurious, unauthentic, bogus, feigned, counterfeit",
frenzy,,,,,n. 狂热 great excitement or wild behaviour, a frenzy of religious feeling 狂热的宗教情感," agitation, fever, hysteria",
seamy,,,,,adj. 肮脏的 unpleasant things, the seamy side of urban life 城市生活的肮脏面,,
adjunct,,,,,n. 附属物 something joined or added to another thing but not essentially a part of it, massage therapy can be used as an adjunct along with the medication 按摩治疗可以作为药物, attachment,
lopsided /ˌlɑːpˈsaɪdɪd,,,,,"adj. 一边倒的 one element is much stronger, bigger, or more important than the other",a lopsided 8-0 victory 8 比 0 一边倒的胜利,," uneven, tilted"
quaff,,,,,v. 大口地喝 to drink (a beverage) heartily, he stopped at a bar and quaffed a few beers 他在酒吧停下来，痛饮了几杯啤酒," guzzle, swill",
hideous,,,,,adj. 非常丑陋的 exceedingly ugly, a hideous Halloween mask 一个丑陋的万圣节面具, monstrous,
rescind,,,,,v. 废除，取消 to make void, rescind a ruling 废除裁决," abolish, annul, invalidate, nullify",
impudent,,,,,adj. 无礼的 rude and showing no respect to others," some children were well behaved, while others were impudent 一些孩子表现得很得体，另一"," impertinent, insolent",
gossamer,,,,,"adj. 轻薄的 extremely light, delicate, or tenuous", a gossamer explanation 站不住脚的解释," diaphanous, ethereal, tenuous",
culpable,,,,,"adj.有罪的 deserving of blame or censure as being wrong, evil, improper, or injurious", culpable behaviors 值得谴责的行为," censurable, reprehensible, reproachable",
preclude,,,,,"v. 阻止 to make impossible, as by action taken in advance", age alone will not preclude him from standing as a candidate 年龄并没有阻止他成为候选人," avert, forestall, obviate",
reticent,,,,,adj. 沉默不语的，话少的 inclined to be silent or uncommunicative in speech, he was reticent about his plans 他对他的计划沉默不语," laconic, taciturn",
concede,,,,,v. (不得不)承认，让步 to admit unwillingly, he conceded as soon as it became clear that he could not win 当他明显赢不了的时候他就停止,"grant, acknowledge",
mitigate,,,,,v. 减轻痛苦，使缓和 to make less severe or painful, powerful drugs that mitigate pains 强力的镇痛剂," allay, alleviate, assuage, ease, mollify, palliate, soothe",
meticulous,,,,,adj. 一丝不苟的 marked by extreme or excessive care in the treatment of details, meticulous research 一丝不苟的研究," conscientious, painstaking, punctilious, scrupulous",
tantamount,,,,,"adj. 等价的 equivalent in value, significance, or effect", a relationship tantamount to marriage 到了谈婚论嫁地步的关系," identical, synonymous with",
erratic,,,,,adj. 没规律的 irregular,erratic inflation rate 不稳定的通货膨胀率,,
erratic,,,,,adj. 古怪的 deviating from what is ordinary,an erratic person 古怪的人,eccentric,
delineate,,,,,"v. 描写，描绘 to describe, portray, or set forth with accuracy or in detail", he delineated the country plan with great care 他精心描述了该国规划," depict, portray",
abstain,,,,,v. 自我克制 to refrain from something by one's own choice, abstain from smoking 戒烟," forgo, refrain from",
chauvinistic,,,,,adj. 盲目爱国的 having or showing excessive favoritism towards one's own country, chauvinistic arrogance 盲目爱国的傲慢," jingoistic, nationalistic",
elucidate,,,,,v. 阐明 to make clear especially by explanation or analysis, elucidate an abstruse equation in quantum mechanics 阐明一个难懂的量子力学方程," illuminate, enlighten",
supercilious,,,,,adj. 高傲的，傲慢的 feeling or showing haughty disdain, a supercilious aristocrat 傲慢的贵族," arrogant, haughty, pompous, overbearing",
contentious,,,,,adj. 引起争论的 likely to cause debate, contentious contents in a movie 电影中引发争论的内容," controversial, disputatious, polemical",
turgid,,,,,adj. 浮夸的，过分装饰的 excessively embellished and complex in style or language, turgid prose 浮夸的散文," bombastic, florid, pompous",
conflagration,,,,,"n. 武装冲突，战争 a state of armed violent struggle between states, nations, or groups", erupt into a conflagration 爆发冲突,,
bolster,,,,,n./v. 支持 a structural part designed to provide support or bearing, pillars that bolster the building 支撑房屋的柱子," brace, buttress, undergird, uphold",
fastidious,,,,,"adj. 挑剔的，极仔细的 possessing or displaying careful, meticulous attention to detail", be fastidious about personal hygiene and appearance 极其注意个人卫生和外表," demanding, exacting",
cogent,,,,,adj. 令人信服的 convincing, a cogent reason 令人信服的理由," compelling, persuasive",
inclement,,,,,adj. （天气等）恶劣的 lacking mildness, inclement weather conditions 恶劣的气象条件," harsh, severe, tempestuous",
enfranchise,,,,,v. 解放 to set free, modern labor-saving appliances enfranchised people 节省劳动力的现代设备将人们解放出来," emancipate, liberate, manumit, unfetter",
estimable,,,,,adj. 值得尊敬的 deserving of respect, an estimable adversary 一位值得尊敬的对手,,
adjudicate,,,,,"v. 裁决，判定 to hear and settle a case, dispute or conflict", adjudicate a disagreement 裁决争论,,
hedge,,,,,v. 避免正面回答 to avoid giving a direct answer, she kept hedging whenever he asked her to go on a date 每当他约她出去约会时，她都闪烁其,,
pragmatic,,,,,adj. 实用主义的，务实的 practical," a pragmatic man, not given to visionary schemes 一个不迷恋花哨空想的计划，而更注重实"," realistic, down-to-earth",
espouse,,,,,v. 支持；拥护 to take up and support as a cause, espouse the revolutionary cause 支持革命事业," embrace, champion",
aboveboard,,,,,"adj. 光明正大的 open, honest and legal", aboveboard business dealings 光明正大的商业交易,,
finicky,,,,,adj. 过分讲究的，挑剔的 extremely or excessively meticulous in taste or standards, a finicky eater 挑食的人," demanding, exacting, fastidious",
tantalizing,,,,,adj. 挑逗性的，撩拨人的 making you feel a desire to have or do something, the tantalizing smell of fried bacon 诱人的煎培根的味道," alluring, tempting",
vulgar,,,,,adj. 粗俗的，无教养的 morally crude, a vulgar joke 低俗的笑话," bawdy, coarse, crass, uncouth",
scaremonger,,,,,n. 危言耸听的人 a person who spreads stories deliberately to make people frightened, a scaremonger who exaggerates security concern 一个夸大安全问题的危言耸听者,,
vitiate,,,,,v. 削弱，损害 to reduce the value or impair the quality of, numerous grammatical errors vitiate the effectiveness of your writing 大量的语法错误会削弱," blemish, flaw, mar, undermine",
antithetical,,,,,adj. 完全对立的 being in direct opposition, spiritual ideals seem antithetical to the materialism 精神上的理想境界同物质主义相抵触," contradictory, dichotomous, adversarial",
euphemism,,,,,n. 婉言，委婉的说法 the substitution of an agreeable for one that may offend, “pass away” is a euphemism for “die” “过世”是“死”的委婉说法,,
cinch,,,,,n. 容易做的事 something that is easy to do, this dish is a cinch to make 这道菜很好做, pushover,
